abbrechen;abbrechen;cancel;buttonno.png;5
ablehnen;ablehnen;decline;buttonno.png;5
abschicken;abschicken;send;buttoncheck.png;5
absenden;absenden;send;buttoncheck.png;5
abweichend;abweichend;variant;;
abweichend2;abweichend;variant;buttoncheck.png;6
aktivieren;aktivieren;activate;;
aktualisieren;aktualisieren;refresh;;
alleanzeigen;alle anzeigen;show all;;
alleauswaehlen;alle auswählen;select all;;
alleloeschen;alle löschen;delete all;;
allesuebernehmen;alles übernehmen;apply all;;
alsziparchiv;als ZIP-Archiv;as ZIP archive;;
anfragen;anfragen;request;;
anlegen;anlegen;create;;
antwortaendern;Antwort ändern;edit answer;;
antworten;antworten;reply;;
anzeigen;anzeigen;display;;
archivieren;archivieren;archive;;
ausgeben;ausgeben;display;;
auswaehlen;auswählen;select;;
auswahlumkehr;Auswahl-Umkehr;inverse selection;;
auswertung;Auswertung;reporting;;
automatisch;automatisch;automatically;;
automatisch2;automatisch;automatically;buttoncheck.png;6
bearbeiten;bearbeiten;edit;;
belegung;Belegung;assignment;;
bestaetigen;bestätigen;confirm;buttoncheck.png;5
bewerten;bewerten;rate this;;
buchen;buchen;book;;
chatbeenden;Chat beenden;quit chat;;
chronolog;chronolog.;chonological;;
chronolog2;chronolog.;chronological;buttoncheck.png;6
dateihochladen;Datei hochladen;upload file;;
deaktivieren;deaktivieren;deactivate;;
details;Details;details;;
ebenen;Ebenen;levels;;
edit;edit;edit;;
eigenschaften;Eigenschaften;properties;;
eingeben;eingeben;enter;;
eingeben2;eingeben;enter;buttoncheck.png;5
eintragen;eintragen;insert;;
entfernen;entfernen;delete;;
ergebnisse;Ergebnisse;results;;
erstellen;erstellen;create;;
erstellen-group;erstellen;create;buttoncreate1.png;-1
erstellen-qgroup;erstellen;create;buttoncreate2.png;-1
erweiterteansicht; erweiterte Ansicht;extended view;;
erweitertesuche;erweiterte Suche;extended search;;
export;Export;export;;
feldhinzufuegen;Feld hinzufügen;add field;;
fertigstellen;fertigstellen;finish;buttoncheck.png;6
fortsetzen;fortsetzen;continue;;
gesperrt;gesperrt;closed;;
gesperrt2;gesperrt;closed;buttoncheck.png;5
gruppieren;gruppieren;group;;
herunterladen;herunterladen;download;;
hinzufuegen;hinzufügen;add;;
inhaltloeschen;Inhalt löschen;delete content;;
ja;JA!;YES!;buttoncheck.png;5
ja2;JA!;YES!;buttoncheck.png;5
jaehrlich;jährlich;yearly;;
jaehrlich2;jährlich;yearly;buttoncheck.png;5
jedenmonat;jeden Monat;every month;;
jedenmonat2;jeden Monat;every month;buttoncheck.png;5
jedentag;jeden Tag;every day;;
jedentag2;jeden Tag;every day;buttoncheck.png;5
jedesjahr;jedes Jahr;every year;;
jedesjahr2;jedes Jahr;every year;buttoncheck.png;5
jedewoche;jede Woche;every week;;
jedewoche2;jede Woche;every week;buttoncheck.png;5
jetzttesten;jetzt testen;check now;;
keine;keine;none;;
keine2;keine;none;buttoncheck.png;5
keins;keins;none;;
keins2;keins;none;buttoncheck.png;5
kopieerstellen;Kopie erstellen;create copy;;
kopieren;kopieren;copy;;
link;Datei verlinken;link file;;
listeoeffnen;Liste öffnen;open list;;
loeschen;löschen;delete;;
login;anmelden;login;buttoncheck.png;5
los;Los;by lots;;
los2;Los;by lots;buttoncheck.png;5
markierteloeschen;markierte löschen;delete selected;;
mehrtaegig;mehrtägig;several days;;
mehrtaegig2;mehrtägig;several days;buttoncheck.png;5
merkliste; in Merkliste >;to Clipboard >;;
monatlich;monatlich;monthly;;
monatlich2;monatlich;monthly;buttoncheck.png;5
n_loeschen;löschen;delete;;
naechster;nächster >>;next >>;;
namenzeigen;Namen zeigen;show names;;
nein;NEIN!;NO!;buttonno.png;5
neuanlegen;neu anlegen;create;;
neueanfrage;neue Anfrage;new request;;
neueebene;neue Ebene;new level;;
neueliteraturliste;neue Literaturliste;new literaturelist;;
neuerordner;neuer Ordner;new folder;;
neuesobjekt;neues Objekt;new object;;
neuespasswort;neues Passwort;new password;;
neuesuche;neue Suche;new search;;
neustarten;neu starten;restart;;
nichtsortieren;nicht sortieren;don't sort;;
normaleansicht;normale Ansicht;normal view;;
ok;OK;OK;buttoncheck.png;5
ordneralszip;Ordner als ZIP;folder as ZIP;;
ordnerloeschen;Ordner löschen;delete folder;;
raumpruefen;Raum prüfen;check room;;
regelmaessig;regelmäßig;regularly;;
regelmaessig2;regelmäßig;regularly;buttoncheck.png;5
registrieren;registrieren;register;;
schliessen;schließen;close;buttonno.png;5
schnellsuche;Schnellsuche;simple search;;
sortieren;sortieren;sort;;
speichern;speichern;save;buttoncheck.png;5
start;start;start;buttoncheck.png;5
starten;starten;start;buttoncheck.png;5
stop;stop;stop;buttonno.png;5
suchen;suchen;search;;
